datetime_,temp_
20201108-17:00,25.5
20201108-17:05,25.5
20201108-17:10,25.6
20201108-17:15,25.5
20201108-17:20,25.5
20201108-17:25,25.6
20201108-17:30,25.6
20201108-17:35,25.6
20201108-17:40,25.6
20201108-17:45,25.6
20201108-17:50,25.6
20201108-17:55,25.6
20201108-18:00,25.6
20201108-18:05,25.6
20201108-18:10,25.8
20201108-18:15,25.6
20201108-18:20,25.8
20201108-18:25,25.8
20201108-18:30,25.8
20201108-18:35,25.8
20201108-18:40,25.8
20201108-18:45,25.8
20201108-18:50,25.8
20201108-18:55,25.8
20201108-19:00,25.8
20201108-19:05,25.8
20201108-19:10,25.8
20201108-19:15,25.8
20201108-19:20,25.8
20201108-19:25,25.9
20201108-19:30,25.8
20201108-19:35,25.8
20201108-19:40,25.8
20201108-19:45,25.9
20201108-19:50,25.8
20201108-19:55,25.9
20201108-20:00,25.9
20201108-20:05,25.8
20201108-20:10,25.8
20201108-20:15,25.8
20201108-20:20,25.9
20201108-20:25,25.8
20201108-20:30,25.8
20201108-20:35,25.8
20201108-20:40,25.8
20201108-20:45,25.8
20201108-20:50,25.8
20201108-20:55,25.8
20201108-21:00,25.6
20201108-21:05,25.6
20201108-21:10,25.6
20201108-21:15,25.6
20201108-21:20,25.5
20201108-21:25,25.6
20201108-21:30,25.6
20201108-21:35,25.6
20201108-21:40,25.6
20201108-21:45,25.6
20201108-21:50,25.6
20201108-21:55,25.6
20201108-22:00,25.6
20201108-22:05,25.6
20201108-22:10,25.6
20201108-22:15,25.5
20201108-22:20,25.5
20201108-22:25,25.5
20201108-22:30,25.3
20201108-22:35,25.5
20201108-22:40,25.5
20201108-22:45,25.5
20201108-22:50,25.5
20201108-22:55,25.4
20201108-23:00,25.4
20201108-23:05,25.5
20201108-23:10,25.4
20201108-23:15,25.2
20201108-23:20,25.3
20201108-23:25,25.2
20201108-23:30,25.3
20201108-23:35,25.2
20201108-23:40,25.1
20201108-23:45,25.1
20201108-23:50,25.1
20201108-23:55,25
20201109-00:00,25
20201109-00:05,25
20201109-00:10,25
20201109-00:15,25
20201109-00:20,25
20201109-00:25,25
20201109-00:30,24.9
20201109-00:35,25
20201109-00:40,24.9
20201109-00:45,24.9
20201109-00:50,25
20201109-00:55,24.9
20201109-01:00,24.9
20201109-01:05,24.9
20201109-01:10,24.9
20201109-01:15,24.9
20201109-01:20,24.9
20201109-01:25,24.9
20201109-01:30,24.8
20201109-01:35,24.8
20201109-01:40,24.8
20201109-01:45,24.7
20201109-01:50,24.8
20201109-01:55,24.7
20201109-02:00,24.7
20201109-02:05,24.7
20201109-02:10,24.7
20201109-02:15,24.7
20201109-02:20,24.7
20201109-02:25,24.7
20201109-02:30,24.6
